id,fpl_Player,Position,Team,Price
105,Mads Roerslev,DEF,BRE,4.3
106,Kevin Schade,MID,BRE,5.3
107,Igor Thiago,FW,BRE,5.9
108,Ivan Toney,FW,BRE,7.3
109,Hakon Valdimarsson,GK,BRE,3.9
110,Yoane Wissa,FW,BRE,6.9
111,Yehor Yarmoliuk,MID,BRE,4.3
112,Mathias Zanka,DEF,BRE,4.5
314,Fabio Carvalho,MID,BRE,4.5
338,Sepp Van den Berg,DEF,BRE,4.1
602,Ryan Trevitt,MID,BRE,4.4
634,Gustavo G.Nunes,MID,BRE,4.9
649,Jayden Meghoma,DEF,BRE,4.0
661,Tony Yogane,MID,BRE,4.5
674,Paris Maghoma,MID,BRE,4.5
705,Benjamin Arthur,DEF,BRE,4.0
752,Thomas Frank,ASS,BRE,0.8
757,Michael Kayode,DEF,BRE,4.5
759,Julian Eyestone,GK,BRE,4.0
780,Iwan Morgan,FW,BRE,4.5
786,Benjamin Fredrick,DEF,BRE,4.0
113,Simon Adingra,MID,BHA,5.1
114,Benicio Baker-Boaitey,MID,BHA,4.5
115,Carlos Baleba,MID,BHA,5.0
116,Valentin Barco,DEF,BHA,4.0
118,Amario Cozier-Duberry,MID,BHA,4.5
119,Mahmoud Dahoud,MID,BHA,4.9
120,Lewis Dunk,DEF,BHA,4.2
122,Pervis Estupinan,DEF,BHA,4.9
124,Billy Gilmour,MID,BHA,5.0
125,Pascal Gross,MID,BHA,6.5
126,Jack Hinshelwood,MID,BHA,4.9
127,Ibrahim I.Osman,MID,BHA,5.0
128,Igor Julio,DEF,BHA,4.3
129,Joao Pedro,FW,BHA,5.5
130,Kacper Kozlowski,MID,BHA,4.5
131,Tariq Lamptey,DEF,BHA,4.4
132,Solly March,MID,BHA,6.5
133,Adrian Mazilu,MID,BHA,4.5
134,James Milner,MID,BHA,5.0
135,Yankuba Minteh,MID,BHA,4.8
136,Mitoma,MID,BHA,6.3
137,Jakub Moder,MID,BHA,4.4
138,Mark O'Mahony,FW,BHA,4.5
139,Odeluga Offiah,DEF,BHA,4.0
140,Cameron Peupion,MID,BHA,4.4
141,Jeremy Sarmiento,MID,BHA,4.9
142,Jason Steele,GK,BHA,4.0
143,Deniz Undav,FW,BHA,5.5
144,Jan Paul Van Hecke,DEF,BHA,4.5
145,Joel Veltman,DEF,BHA,4.3
146,Bart Verbruggen,GK,BHA,4.5
147,Adam Webster,DEF,BHA,4.3
148,Danny Welbeck,FW,BHA,5.5
149,Mats Wieffer,MID,BHA,4.7
595,Brajan Gruda,MID,BHA,5.4
600,Yasin Ayari,MID,BHA,5.0
601,Andrew Moran,MID,BHA,5.0
615,Carl Rushworth,GK,BHA,3.9
618,Georginio,MID,BHA,5.0
628,Ferdi F.Kadioglu,DEF,BHA,4.4
629,Matt O'Riley,MID,BHA,5.5
663,Imari Samuels,DEF,BHA,4.0
668,Killian Cahill,GK,BHA,3.9
681,Ruairi McConville,DEF,BHA,4.0
685,Jacob Slater,DEF,BHA,4.0
714,Diego Gomez,MID,BHA,5.5
739,Fabian Hurzeler,ASS,BHA,1.1
758,Joe Knight,MID,BHA,4.5
763,Eiran Cashin,DEF,BHA,4.5
791,Charlie Tasker,DEF,BHA,4.0
794,Freddie Simmonds,DEF,BHA,4.0
795,Harry Howell,MID,BHA,4.5
150,Andrey Santos,MID,CHE,4.5
151,Angelo Gabriel,MID,CHE,4.5
153,Benoit B.Badiashile,DEF,CHE,4.2
154,Lucas Bergstrom,GK,CHE,3.9
155,Marcus Bettinelli,GK,CHE,3.9
157,Moises Caicedo,MID,CHE,4.9
158,Cesare Casadei,MID,CHE,4.4
159,Trevoh Chalobah,DEF,CHE,4.4
161,Carney Chukwuemeka,MID,CHE,4.7
162,Levi Colwill,DEF,CHE,4.4
163,Marc Cucurella,DEF,CHE,5.4
164,David Datro D.D.Fofana,FW,CHE,5.4
165,Deivid Washington,FW,CHE,4.9
166,Kiernan Dewsbury-Hall,MID,CHE,5.5
168,Enzo,MID,CHE,4.7
169,Conor Gallagher,MID,CHE,5.9
170,Alfie Gilchrist,DEF,CHE,4.0
171,Malo Gusto,DEF,CHE,4.9
172,Reece James,DEF,CHE,4.8
173,Omari Kellyman,MID,CHE,4.3
174,Romeo Lavia,MID,CHE,4.5
175,Romelu Lukaku,FW,CHE,6.3
176,Malang M.Sarr,DEF,CHE,4.5
177,Noni Madueke,MID,CHE,6.0
178,Marc Guiu,FW,CHE,4.7
179,Mykhailo Mudryk,MID,CHE,6.1
180,Nicolas N.Jackson,FW,CHE,7.7
181,Christopher Nkunku,MID,CHE,5.7
182,Cole Palmer,MID,CHE,10.5
183,Dorde Petrovic,GK,CHE,4.4
184,Renato Veiga,MID,CHE,4.4
185,Robert Sanchez,GK,CHE,4.5
187,Tosin,DEF,CHE,4.2
189,Wesley W.Fofana,DEF,CHE,4.3
386,Jadon Sancho,MID,CHE,6.2
560,Pedro Neto,MID,CHE,6.1
575,Caleb Wiley,DEF,CHE,4.0
581,Filip Jorgensen,GK,CHE,4.2
621,Joao Felix,MID,CHE,5.9
695,Samuel Rak-Sakyi,MID,CHE,4.5
696,Tyrique George,MID,CHE,4.5
697,Josh Acheampong,DEF,CHE,4.0
740,Enzo Maresca,ASS,CHE,1.5
771,Mathis Amougou,MID,CHE,4.5
774,Aaron Anselmino,DEF,CHE,4.0
781,Shumaira Mheuka,FW,CHE,4.5
782,Ishe Samuels-Smith,DEF,CHE,4.0
787,Genesis Antwi,DEF,CHE,4.0
11,Eddie Nketiah,FW,CRY,5.9
160,Ben Chilwell,DEF,CRY,4.6
190,Naouirou Ahamada,MID,CRY,4.5
193,Cheick C.Doucoure,MID,CRY,4.8
194,Chris C.Richards,DEF,CRY,4.4
195,Chadi Riad,DEF,CRY,4.3
196,Nathaniel Clyne,DEF,CRY,4.3
197,Malcolm Ebiowei,MID,CRY,4.5
199,Eberechi Eze,MID,CRY,7.0
200,Marc Guehi,DEF,CRY,4.7
201,Dean Henderson,GK,CRY,4.6
202,Rob Holding,DEF,CRY,4.2
203,Will Hughes,MID,CRY,4.9
205,Daichi Kamada,MID,CRY,5.1
206,Jefferson Lerma,MID,CRY,4.8
207,Jean-Philippe Mateta,FW,CRY,7.5
208,Matheus M.Franca,MID,CRY,4.4
209,Remi Matthews,GK,CRY,3.9
210,Tyrick Mitchell,DEF,CRY,4.8
